	SENTENCE	CONDITION	MODAL VERB	SYSTEM_NAME	ACTOR	OBJECT + COMPLEMENT	VERB
0	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die für ein Sicherungsprojekt vorzulegenden Nachweis-Items anzugeben.		muss	Die OPENCOSS-Plattform	Nutzer	die für ein Sicherungsprojekt vorzulegenden Nachweis-Items	anzugeben
1	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweisarten der für ein Sicherungsprojekt zu liefernden Nachweis-Items anzugeben.		muss	Die OPENCOSS-Plattform	Nutzer	die Nachweisarten der für ein Sicherungsprojekt zu liefernden Nachweis-Items	anzugeben
2	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, ein vorhandenes Nachweis-Charakterisierungsmodell für ein Sicherungsprojekt auszuwählen.		muss	Die OPENCOSS-Plattform	Nutzer	ein vorhandenes Nachweis-Charakterisierungsmodell für ein Sicherungsprojekt	auszuwählen
3	Die OPENCOSS-Plattform muss die Merkmale der Nachweis-Items eines Sicherungsprojekts gemäß der CCL speichern.		muss	Die OPENCOSS-Plattform		die Merkmale der Nachweis-Items eines Sicherungsprojekts gemäß der CCL	speichern
4	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweisart für das gegebene Nachweis-Item eines Sicherungsprojekts anzugeben.		muss	Die OPENCOSS-Plattform	Nutzer	die Nachweisart für das gegebene Nachweis-Item eines Sicherungsprojekts	anzugeben
5	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisarten, die bereits in anderen Pojekten definiert wurden, in Sicherungsprojekten wiederzuverwenden.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweisarten, die bereits in anderen Pojekten definiert wurden, in Sicherungsprojekten	wiederzuverwenden
6	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, das Artefakt, mit dem die Nachweis-Items eines Sicherungsprojekts verbunden sind, anzugeben		muss	Die OPENCOSS-Plattform	Nutzer	das Artefakt, mit dem die Nachweis-Items eines Sicherungsprojekts verbunden sind	anzugeben
7	Die OPENCOSS-Plattform muss die CCL-Informationen des Artefakts, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist, speichern.		muss	Die OPENCOSS-Plattform		die CCL-Informationen des Artefakts, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist	speichern
8	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Informationen über das Artefakt, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist, zu ändern.		muss	Die OPENCOSS-Plattform	Nutzer	die Informationen über das Artefakt, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist	ändern
9	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items eines Sicherungsprojekts mit einem Artefakt, das in einem anderen Projekt verwendet wurde, zu verknüpfen.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweis-Items eines Sicherungsprojekts mit einem Artefakt, das in einem anderen Projekt verwendet wurde	verknüpfen
