;sentence;lemmatized_spaCy;pos tags spaCy;noun chunks spaCy;lemmatized_NLTK;pos tags NLTK;noun chunks NLTK;lemmatized_TreeTagger;pos tags TreeTagger;noun chunks TreeTagger
0;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die für ein Sicherungsprojekt vorzulegenden Nachweis-Items anzugeben.
";"('muss', 'muss')
('bieten', 'bieten')
('vorzulegenden', 'vorzulegenden')
('anzugeben', 'angeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Sicherungsprojekt', 'Sicherungsprojekt')
('für ein Sicherungsprojekt vorzulegenden Nachweis-Items', 'für einen Sicherungsprojekt vorzulegenden Nachweis-Items')";"('muss', 'VERB')
('bieten', 'VERB')
('vorzulegenden', 'ADJ')
('anzugeben', 'VERB')";"('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Möglichkeit', ' Möglichkeit')
('Sicherungsprojekt', 'Sicherung Projekt')
('für ein Sicherungsprojekt vorzulegenden Nachweis-Items', 'für ein Sicherung Projekt vorzulegenden Nachweis Item')";"('muss', 'müssen')
('bieten', 'bieten')
('vorzulegenden', 'vorzulegenden')
('anzugeben', 'anzugeben')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')";"('muss', 'VB')
('bieten', 'VB')
('vorzulegenden', 'VB')
('anzugeben', 'VB')";('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit');"('muss', 'müssen')
('bieten', 'bieten')
('vorzulegenden', 'vorzulegend')
('anzugeben', 'angeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('vorzulegenden Nachweis-Items', 'vorzulegend Nachweis-Items')";('vorzulegend', 'ADJ');"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('vorzulegenden Nachweis-Items', 'vorzulegend Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('vorzulegenden Nachweis-Items', 'vorzulegend Nachweis Item')"
1;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweisarten der für ein Sicherungsprojekt zu liefernden Nachweis-Items anzugeben.
";"('muss', 'muss')
('bieten', 'bieten')
('liefernden', 'liefernd')
('anzugeben', 'angeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisarten', 'Nachweisarten')
('Sicherungsprojekt', 'Sicherungsprojekt')
('für ein Sicherungsprojekt zu liefernden Nachweis-Items', 'für einen Sicherungsprojekt zu liefernd Nachweis-Items')";"('muss', 'VERB')
('bieten', 'VERB')
('liefernden', 'ADJ')
('anzugeben', 'VERB')";"('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Möglichkeit', ' Möglichkeit')
('für ein Sicherungsprojekt zu liefernden Nachweis-Items', 'für ein Sicherung Projekt zu liefernden Nachweis Item')
('Nachweisarten', ' Nachweisarten')
('Sicherungsprojekt', 'Sicherung Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('anzugeben', 'anzugeben')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')";"('muss', 'VB')
('bieten', 'VB')
('anzugeben', 'VB')";('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit');"('muss', 'müssen')
('bieten', 'bieten')
('liefernden', 'liefernd')
('anzugeben', 'angeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisarten', 'Nachweisarten')";('liefernd', 'ADJ');"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisarten', 'Nachweisarten')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisarten', 'Nachweisarten')"
2;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, ein vorhandenes Nachweis-Charakterisierungsmodell für ein Sicherungsprojekt auszuwählen.
";"('muss', 'muss')
('bieten', 'bieten')
('vorhandenes', 'vorhanden')
('auszuwählen', 'auswählen')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('vorhandenes Nachweis-Charakterisierungsmodell', 'vorhanden Nachweis-Charakterisierungsmodell')
('Sicherungsprojekt', 'Sicherungsprojekt')";"('muss', 'VERB')
('bieten', 'VERB')
('vorhandenes', 'ADJ')
('auszuwählen', 'VERB')";"('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Möglichkeit', ' Möglichkeit')
('Sicherungsprojekt', 'Sicherung Projekt')
('vorhandenes Nachweis-Charakterisierungsmodell', 'vorhandene Nachweis Charakterisierungs Modell')";"('muss', 'müssen')
('bieten', 'bieten')
('vorhandenes', 'vorhanden')
('Sicherungsprojekt', 'Sicherungsprojekt')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('vorhandenes Nachweis-Charakterisierungsmodell', 'vorhanden Nachweis-Charakterisierungsmodell')
('Sicherungsprojekt auszuwählen', 'sicherungsprojekt auszuwählen')";"('muss', 'VB')
('bieten', 'VB')
('vorhandenes', 'JJ')
('Sicherungsprojekt', 'JJ')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('vorhandenes Nachweis-Charakterisierungsmodell', 'vorhanden Nachweis Charakterisierungs Modell')
('Sicherungsprojekt auszuwählen', 'Sicherung Projekt auswählen')";"('muss', 'müssen')
('bieten', 'bieten')
('vorhandenes', 'vorhanden')
('auszuwählen', 'auswählen')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('vorhandenes Nachweis-Charakterisierungsmodell', 'vorhanden Nachweis-Charakterisierungsmodell')";('vorhanden', 'ADJ');"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('vorhandenes Nachweis-Charakterisierungsmodell', 'vorhanden Nachweis Charakterisierungs Modell')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('vorhandenes Nachweis-Charakterisierungsmodell', 'vorhanden Nachweis Charakterisierungs Modell')"
3;"Die OPENCOSS-Plattform muss die Merkmale der Nachweis-Items eines Sicherungsprojekts gemäß der CCL speichern.
";"('muss', 'muss')
('speichern', 'speichern')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Merkmale', 'Merkmal')
('Nachweis-Items', 'Nachweis-Items')
('Sicherungsprojekts', 'Sicherungsprojekts')
('CCL', 'CCL')";"('muss', 'VERB')
('speichern', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items', 'Nachweis Item')
('CCL', ' CCL')
('Merkmale', ' Merkmal')";"('muss', 'müssen')
('speichern', 'speichern')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis-Items ein Sicherungsprojekts')";"('muss', 'VB')
('speichern', 'VB')";('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item einen Sicherung Projekt');"('muss', 'müssen')
('speichern', 'speichern')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Merkmale', 'Merkmal')
('Nachweis-Items', 'Nachweis-Items')
('Sicherungsprojekts', 'Sicherungsprojekts')";;"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Merkmale', 'Merkmal')
('Nachweis-Items', 'Nachweis Item')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Merkmale', 'Merkmal')
('Nachweis-Items', 'Nachweis Item')
('Sicherungsprojekts', 'Sicherung Projekt')"
4;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweisart für das gegebene Nachweis-Item eines Sicherungsprojekts anzugeben.
";"('muss', 'muss')
('bieten', 'bieten')
('gegebene', 'gegeben')
('anzugeben', 'angeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisart', 'Nachweisart')
('gegebene Nachweis-Item', 'gegeben Nachweis-Item')
('Sicherungsprojekts', 'Sicherungsprojekts')";"('muss', 'VERB')
('bieten', 'VERB')
('gegebene', 'ADJ')
('anzugeben', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweisart', ' Nachweisart')
('Möglichkeit', ' Möglichkeit')
('gegebene Nachweis-Item', 'gegebene Nachweis-Item')";"('muss', 'müssen')
('bieten', 'bieten')
('anzugeben', 'anzugeben')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('gegebene Nachweis-Item eines Sicherungsprojekts', 'gegeben Nachweis-Item ein Sicherungsprojekts')";"('muss', 'VB')
('bieten', 'VB')
('anzugeben', 'VB')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('gegebene Nachweis-Item eines Sicherungsprojekts', 'gegeben Nachweis-Item einen Sicherung Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('gegebene', 'gegeben')
('anzugeben', 'angeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisart', 'Nachweisart')
('Sicherungsprojekts', 'Sicherungsprojekts')";('gegeben', 'ADJ');"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisart', 'Nachweisart')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisart', 'Nachweisart')
('Sicherungsprojekts', 'Sicherung Projekt')"
5;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisarten, die bereits in anderen Pojekten definiert wurden, in Sicherungsprojekten wiederzuverwenden.
";"('muss', 'muss')
('bieten', 'bieten')
('anderen', 'ander')
('definiert', 'definieren')
('wiederzuverwenden', 'wiederzuverwenden')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisarten', 'Nachweisarten')
('Pojekten', 'Pojekten')
('Sicherungsprojekten', 'Sicherungsprojekten')";"('muss', 'VERB')
('bieten', 'VERB')
('anderen', 'ADJ')
('definiert', 'VERB')
('wiederzuverwenden', 'VERB')";"('Pojekten', ' Pojekten')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Möglichkeit', ' Möglichkeit')
('Sicherungsprojekten', 'Sicherung Projekt')
('Nachweisarten', ' Nachweisarten')";"('muss', 'müssen')
('bieten', 'bieten')
('anderen', 'ander')
('wurden', 'werden')
('Sicherungsprojekten', 'Sicherungsprojekt')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('anderen Pojekten', 'ander Pojekten')
('Sicherungsprojekten wiederzuverwenden', 'sicherungsprojekt wiederzuverwenden')";"('muss', 'VB')
('bieten', 'VB')
('anderen', 'JJ')
('wurden', 'VB')
('Sicherungsprojekten', 'JJ')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('anderen Pojekten', 'ander Pojekten')
('Sicherungsprojekten wiederzuverwenden', 'Sicherung Projekt Wiederzu Verwenden')";"('muss', 'müssen')
('bieten', 'bieten')
('anderen', 'andere')
('definiert', 'definieren')
('wurden', 'werden')
('wiederzuverwenden', 'wiederverwenden')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisarten', 'Nachweisarten')";('andere', 'ADJ');"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisarten', 'Nachweisarten')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisarten', 'Nachweisarten')"
6;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, das Artefakt, mit dem die Nachweis-Items eines Sicherungsprojekts verbunden sind, anzugeben
";"('muss', 'muss')
('bieten', 'bieten')
('verbunden', 'verbinden')
('anzugeben', 'angeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Artefakt', 'Artefakt')
('Nachweis-Items', 'Nachweis-Items')
('Sicherungsprojekts', 'Sicherungsprojekts')";"('muss', 'VERB')
('bieten', 'VERB')
('verbunden', 'VERB')
('anzugeben', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items', 'Nachweis Item')
('Möglichkeit', ' Möglichkeit')
('Artefakt', ' Artefakt')";"('muss', 'müssen')
('bieten', 'bieten')
('sind', 'sein')
('anzugeben', 'anzugeben')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis-Items ein Sicherungsprojekts')";"('muss', 'VB')
('bieten', 'VB')
('sind', 'VB')
('anzugeben', 'VB')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item einen Sicherung Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('verbunden', 'verbinden')
('sind', 'sein')
('anzugeben', 'anzugeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Artefakt', 'Artefakt')
('Nachweis-Items', 'Nachweis-Items')
('Sicherungsprojekts', 'Sicherungsprojekts')";('anzugeben', 'ADJ');"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Artefakt', 'Artefakt')
('Nachweis-Items', 'Nachweis Item')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Artefakt', 'Artefakt')
('Nachweis-Items', 'Nachweis Item')
('Sicherungsprojekts', 'Sicherung Projekt')"
7;"Die OPENCOSS-Plattform muss die CCL-Informationen des Artefakts, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist, speichern.
";"('muss', 'muss')
('verbunden', 'verbinden')
('speichern', 'speichern')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('CCL-Informationen', 'CCL-Informationen')
('Artefakts', 'Artefakts')
('Nachweis-Item', 'Nachweis-Item')
('Sicherungsprojekts', 'Sicherungsprojekts')";"('muss', 'VERB')
('verbunden', 'VERB')
('speichern', 'VERB')";"('Nachweis-Item', ' Nachweis-Item')
('Sicherungsprojekts', 'Sicherung Projekt')
('CCL-Informationen', 'Ccl Information')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Artefakts', ' Artefakt')";"('muss', 'müssen')
('ist', 'sein')
('speichern', 'speichern')
('Nachweis-Item eines Sicherungsprojekts', 'Nachweis-Item ein Sicherungsprojekts')";"('muss', 'VB')
('ist', 'VB')
('speichern', 'VB')";('Nachweis-Item eines Sicherungsprojekts', 'Nachweis-Item einen Sicherung Projekt');"('muss', 'müssen')
('verbunden', 'verbinden')
('ist', 'sein')
('speichern', 'speichern')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('CCL-Informationen', 'CCL-Informationen')
('Artefakts', 'Artefakts')
('Nachweis-Item', 'Nachweis-Item')
('Sicherungsprojekts', 'Sicherungsprojekts')";;"('OPENCOSS-Plattform', 'Opencoss Plattform')
('CCL-Informationen', 'Ccl Information')
('Artefakts', 'Artefakt')
('Nachweis-Item', 'Nachweis-Item')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('CCL-Informationen', 'Ccl Information')
('Artefakts', 'Artefakt')
('Nachweis-Item', 'Nachweis-Item')
('Sicherungsprojekts', 'Sicherung Projekt')"
8;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Informationen über das Artefakt, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist, zu ändern.
";"('muss', 'muss')
('bieten', 'bieten')
('verbunden', 'verbinden')
('ändern', 'ändern')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Artefakt', 'Artefakt')
('Nachweis-Item', 'Nachweis-Item')
('Sicherungsprojekts', 'Sicherungsprojekts')";"('muss', 'VERB')
('bieten', 'VERB')
('verbunden', 'VERB')
('ändern', 'VERB')";"('Nachweis-Item', ' Nachweis-Item')
('Sicherungsprojekts', 'Sicherung Projekt')
('Informationen', ' Information')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Möglichkeit', ' Möglichkeit')
('Artefakt', ' Artefakt')";"('muss', 'müssen')
('bieten', 'bieten')
('ist', 'sein')
('ändern', 'ändern')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('Nachweis-Item eines Sicherungsprojekts', 'Nachweis-Item ein Sicherungsprojekts')";"('muss', 'VB')
('bieten', 'VB')
('ist', 'VB')
('ändern', 'VB')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('Nachweis-Item eines Sicherungsprojekts', 'Nachweis-Item einen Sicherung Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('verbunden', 'verbinden')
('ist', 'sein')
('ändern', 'ändern')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Nachweis-Item', 'Nachweis-Item')
('Sicherungsprojekts', 'Sicherungsprojekts')";;"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Nachweis-Item', 'Nachweis-Item')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Nachweis-Item', 'Nachweis-Item')
('Sicherungsprojekts', 'Sicherung Projekt')"
9;"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items eines Sicherungsprojekts mit einem Artefakt, das in einem anderen Projekt verwendet wurde, zu verknüpfen.
";"('muss', 'muss')
('bieten', 'bieten')
('anderen', 'ander')
('verwendet', 'verwenden')
('verknüpfen', 'verknüpfen')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis-Items')
('Sicherungsprojekts', 'Sicherungsprojekts')
('Artefakt', 'Artefakt')
('anderen Projekt', 'ander Projekt')";"('muss', 'VERB')
('bieten', 'VERB')
('anderen', 'ADJ')
('verwendet', 'VERB')
('verknüpfen', 'VERB')";"('Sicherungsprojekts', 'Sicherung Projekt')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items', 'Nachweis Item')
('Möglichkeit', ' Möglichkeit')
('Artefakt', ' Artefakt')
('anderen Projekt', 'anderen Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('anderen', 'ander')
('wurde', 'werden')
('Nutzer die Möglichkeit', 'Nutzer die Möglichkeit')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis-Items ein Sicherungsprojekts')
('anderen Projekt', 'ander Projekt')";"('muss', 'VB')
('bieten', 'VB')
('anderen', 'JJ')
('wurde', 'VB')";"('Nutzer die Möglichkeit', 'Nutzer der Möglichkeit')
('Nachweis-Items eines Sicherungsprojekts', 'Nachweis Item einen Sicherung Projekt')
('anderen Projekt', 'ander Projekt')";"('muss', 'müssen')
('bieten', 'bieten')
('anderen', 'andere')
('verwendet', 'verwenden')
('wurde', 'werden')
('verknüpfen', 'verknüpfen')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis-Items')
('Sicherungsprojekts', 'Sicherungsprojekts')";('andere', 'ADJ');"('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Sicherungsprojekts', 'Sicherung Projekt')"
