,sentence,lemmatized,pos tags,noun chunks
0,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die für ein Sicherungsprojekt vorzulegenden Nachweis-Items anzugeben.","('muss', 'muss')
('Möglichkeit', 'Möglichkeit')
('Nutzer', 'Nutzer')
('Nachweis-Items', 'Nachweis-Item')
('bieten', 'bieten')
('vorzulegenden', 'vorlegen')
('anzugeben', 'angeben')
('Sicherungsprojekt', 'Sicherungsprojekt')
('Nachweis-Items', 'Nachweis-Item')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')","('muss', 'VERB')
('bieten', 'VERB')
('vorzulegenden', 'VERB')
('anzugeben', 'VERB')","('Möglichkeit', 'Möglichkeit')
('Nutzer', 'Nutzer')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekt', 'Sicherung Projekt')"
1,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweisarten der für ein Sicherungsprojekt zu liefernden Nachweis-Items anzugeben.","('muss', 'muss')
('bieten', 'bieten')
('Nutzer', 'Nutzer')
('Nachweisarten', 'Nachweisart')
('Nachweis-Items', 'Nachweis-Item')
('Möglichkeit', 'Möglichkeit')
('liefernden', 'liefernd')
('anzugeben', 'angeben')
('Sicherungsprojekt', 'Sicherungsprojekt')
('Nachweis-Items', 'Nachweis-Item')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')","('muss', 'VERB')
('bieten', 'VERB')
('liefernden', 'ADJ')
('anzugeben', 'VERB')","('Möglichkeit', 'Möglichkeit')
('Nutzer', 'Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekt', 'Sicherung Projekt')
('Nachweisarten', 'Nachweis Art')"
2,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, ein vorhandenes Nachweis-Charakterisierungsmodell für ein Sicherungsprojekt auszuwählen.","('muss', 'muss')
('bieten', 'bieten')
('Nutzer', 'Nutzer')
('Nachweis-Charakterisierungsmodell', 'Nachweis-Charakterisierungsmodell')
('Nachweis-Items', 'Nachweis-Item')
('Möglichkeit', 'Möglichkeit')
('auszuwählen', 'auswählen')
('vorhandenes', 'vorhanden')
('Sicherungsprojekt', 'Sicherungsprojekt')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nachweis-Charakterisierungsmodell', 'Nachweis-Charakterisierungsmodell')","('muss', 'VERB')
('bieten', 'VERB')
('vorhandenes', 'ADJ')
('auszuwählen', 'VERB')","('Möglichkeit', 'Möglichkeit')
('Nutzer', 'Nutzer')
('vorhandenes Nachweis-Charakterisierungsmodell', 'vorhande Nachweis Charakterisierung Modell')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekt', 'Sicherung Projekt')"
3,Die OPENCOSS-Plattform muss die Merkmale der Nachweis-Items eines Sicherungsprojekts gemäß der CCL speichern.,"('muss', 'muss')
('Merkmale', 'Merkmal')
('Nachweis-Items', 'Nachweis-Item')
('CCL', 'CCL')
('gemäß', 'gemäß')
('speichern', 'speichern')
('Nachweis-Items', 'Nachweis-Item')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Sicherungsprojekts', 'Sicherungsprojekt')","('muss', 'VERB')
('speichern', 'VERB')","('Merkmale der Nachweis-Items eines Sicherungsprojekts', 'Merkmal Nachweis Item ein Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('CCL', 'CCL')"
4,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweisart für das gegebene Nachweis-Item eines Sicherungsprojekts anzugeben.","('muss', 'muss')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisart', 'Nachweisart')
('Nachweis-Item', 'Nachweis-Item')
('bieten', 'bieten')
('gegebene', 'gegeben')
('anzugeben', 'angeben')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Sicherungsprojekts', 'Sicherungsprojekt')","('muss', 'VERB')
('bieten', 'VERB')
('gegebene', 'ADJ')
('anzugeben', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Möglichkeit', 'Möglichkeit')
('Nachweisart', 'Nachweis Art')
('gegebene Nachweis-Item', 'gegeben Nachweis Item')
('Nutzer', 'Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')"
5,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisarten, die bereits in anderen Pojekten definiert wurden, in Sicherungsprojekten wiederzuverwenden.","('muss', 'muss')
('bieten', 'bieten')
('anderen', 'ander')
('wurden', 'sein')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweisarten', 'Nachweisart')
('Sicherungsprojekten', 'Sicherungsprojekt')
('bereits', 'bereit')
('Projekten', 'Projekt')
('definiert', 'definieren')
('wiederzuverwenden', 'wiederzuverwenden')
('Pojekten', 'Pojekt')
('Sicherungsprojekten', 'Sicherungsprojekt')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('wurden', 'sein')","('muss', 'VERB')
('bieten', 'VERB')
('anderen', 'ADJ')
('definiert', 'VERB')
('wiederzuverwenden', 'VERB')","('Pojekten', 'Pojekt')
('Möglichkeit', 'Möglichkeit')
('Nutzer', 'Nutzer')
('Sicherungsprojekten', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweisarten', 'Nachweis Art')"
6,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, das Artefakt, mit dem die Nachweis-Items eines Sicherungsprojekts verbunden sind, anzugeben","('muss', 'muss')
('bieten', 'bieten')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Artefakt', 'Artefakt')
('Nachweis-Items', 'Nachweis-Item')
('verbunden', 'verbinden')
('anzugeben', 'angeben')
('Nachweis-Items', 'Nachweis-Item')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Sicherungsprojekts', 'Sicherungsprojekt')","('muss', 'VERB')
('bieten', 'VERB')
('verbunden', 'VERB')
('anzugeben', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Nachweis-Items eines Sicherungsprojekts', ' Nachweis Item ein Sicherung Projekts')
('Nutzer', 'Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Artefakt', 'Artefakt')"
7,"Die OPENCOSS-Plattform muss die CCL-Informationen des Artefakts, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist, speichern.","('muss', 'muss')
('verbunden', 'verbinden')
('CLL-Informationen', 'CLL-Information')
('Artefakts', 'Artefakt')
('Nachweis-Item', 'Nachweis-Item')
('speichern', 'speichern')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Sicherungsprojekts', 'Sicherungsprojekt')
('CCL-Informationen', 'CCL-Information')","('muss', 'VERB')
('verbunden', 'VERB')
('speichern', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items eines Sicherungsprojekts', ' Nachweis Item ein Sicherung Projekts')
('Artefakts', 'Artefakt')
('Nachweis-Item', 'Nachweis Item')
('CCL-Informationen', 'CCL Information')"
8,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Informationen über das Artefakt, mit dem ein Nachweis-Item eines Sicherungsprojekts verbunden ist, zu ändern.","('muss', 'muss')
('bieten', 'bieten')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Artefakt', 'Artefakt')
('verbunden', 'verbinden')
('ändern', 'ändern')
('Nachweis-Item', 'Nachweis-Item')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Sicherungsprojekts', 'Sicherungsprojekt')","('muss', 'VERB')
('bieten', 'VERB')
('verbunden', 'VERB')
('ändern', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Möglichkeit', 'Möglichkeit')
('Informationen', 'Information')
('Nutzer', 'Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Items eines Sicherungsprojekts', ' Nachweis Item ein Sicherung Projekts')
('Nachweis-Item', 'Nachweis Item')
('Artefakt', 'Artefakt')"
9,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items eines Sicherungsprojekts mit einem Artefakt, das in einem anderen Projekt verwendet wurde, zu verknüpfen.","('muss', 'muss')
('bieten', 'bieten')
('Nutzer', 'Nutzer')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis-Item')
('Artefakts', 'Artefakt')
('Projekt', 'Projekt')
('anderen', 'ander')
('verwendet', 'verwenden')
('verknüpfen', 'verknüpfen')
('Artefakt', 'Artefakt')
('Nachweis-Items', 'Nachweis-Item')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Sicherungsprojekts', 'Sicherungsprojekt')","('muss', 'VERB')
('bieten', 'VERB')
('anderen', 'ADJ')
('verwendet', 'VERB')
('verknüpfen', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Möglichkeit', 'Möglichkeit')
('Nachweis-Items', 'Nachweis Item')
('Nachweis-Items eines Sicherungsprojekts', ' Nachweis Item ein Sicherung Projekts')
('Nutzer', 'Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Artefakt', 'Artefakt')
('anderen Projekt', 'ander Projekt')"
