0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
CCL,OPENCOSS-Plattform,OPENCOSS-Plattform,externes Werkzeug,Artefakte externer Werkzeuge,Aktion,Status einer Aktion,Knoten der Baumansicht,Bericht,Nachweis-Item,Nachweis-Item,Änderung an Nachweis-Items,Nachweis-Item,Nachweisart,Nachweis-Item,Nachweis-Item,Nachweis-Item,Nachweis-Item,Nachweis Rückverfolgbarkeit,Nachweisrückverfolgbarkeitslink,Nachweisrückverfolgbarkeitslink,Bewertung eines Nachweis-Items,Bewertungskriterien,Bewertungskategorie,Nachweis-Item,Nachweis-Repository,Sicherungsprojekt,Nachweisrückverfolgbarkeitslink
OPENCOSS-Plattform,OPENCOSS,OPENCOSS,Artefakt,Informationen über das Artefakt,Zeit und Datum der Aktionen,noch ausstehened Status,Struktur der Baumansicht,Bericht über den Nachweisbeleg,Nachweis-Item eines Sicherungsprojekts,Nachweis-Item eines Sicherungsprojekts,Änderungen von Nachweis-Items,Nachweis-Item eines Sicherungsprojekts,Nachweisart für das gegebene Nachweis-Item,Nachweis-Item eines Sicherungsprojekts,Nachweis-Item eines Sicherungsprojekts,Nachweis-Item eines Sicherungsprojekts,Nachweis-Item eines Sicherungsprojekts,Nachweisrückverfolgbarkeitslink,Sicherungsprojekt,Nachweis-Item,Bewertungskriterien,Bewertungskategorie,Begründung,Nachweis-Repository,Nachweis-Repository eines Sicherungsprojekts,Nachweischarakterisierungsmodell,Rückverfolgbarkeitsmatrix
OPENCOSS,SAEM Modell,Nutzer,Artefakte externer Werkzeuge,Artefakt,Bestätigung der Aktion,noch ausstehende Aktion,Baumansicht,"Formate PDF, RTF und MS Word",Nachweis-Item eines Projekts,Nachweis-Item eines Projekts,Änderungshistorie,Nachweis-Item eines Projekts,Nachweisart eines Nachweises,Nachweis-Item eines Projekts,Nachweis-Item eines Projekts,Nachweis-Item eines Projekts,Nachweis-Item eines Projekts,Quell- und Zielnachweisarten eines Nachweisrückverfolgbarkeitslinks,Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekt,,Bewertungskriterien der Nachweis-Items,,,,Sicherungsprojekt,Nachweischarakterisierungsmodell eines Projekts,Rückverfolgbarkeitstabelle
,SAEM,,,,Status einer Aktion,adressiert Status,Baumansciht Knoten der verknüpften Nachweisart,HTML Datei,Nachweis eines Sicherungsprojekts,Nachweis eines Sicherungsprojekts,mögliche Änderung,Nachweis eines Sicherungsprojekts,Quell- und Zielnachweisart eines Nachweisrückverfolgbarkeitslinks,Nachweis eines Sicherungsprojekts,Nachweis eines Sicherungsprojekts,Nachweis eines Sicherungsprojekts,Nachweis eines Sicherungsprojekts,Quelle eines Nachweisrückverfolgbarkeitslinks,Nachweisrückverfolgbarkeitslinks eines Projekts,,Nachweis-Item,,,,,vorhandenes Nachweischarakterisierungsmodell,
,,,,,Informationen über Aktionen,nachfolgend verbundene Aktionen,Zwischenknoten,,gegebenes Nachweis-Item eines Sicherungsprojekts,gegebenes Nachweis-Item eines Sicherungsprojekts,infolge einer Änderung,gegebenes Nachweis-Item eines Sicherungsprojekts,Rückverfolgbarkeits Visualisierung,gegebenes Nachweis-Item eines Sicherungsprojekts,gegebenes Nachweis-Item eines Sicherungsprojekts,gegebenes Nachweis-Item eines Sicherungsprojekts,gegebenes Nachweis-Item eines Sicherungsprojekts,Ziel eines Nachweisrückverfolgbarkeitslinks,,,,,,,,,
,,,,,noch ausstehenede Aktion,,Zwischenknoten der Baumansicht,,mögliche Nachweis-Items,mögliche Nachweis-Items,infolge von Änderungen,mögliche Nachweis-Items,,mögliche Nachweis-Items,mögliche Nachweis-Items,mögliche Nachweis-Items,Sicherungsprojekts,Link Typ des Nachweisrückverfolgbarkeitslinks,,,,,,,,,
,,,,,nachfolgend verbundene Aktionen,,Definition von Zwischenknoten,,Merkmale der Nachweis-Items,Änderung an Nachweis-Items,Änderungsbestätigung,Nachweisart,,Nachweisbeleg,Beweisinformation,Nachweisbewertung,,Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts,,,,,,,,,
,,,,,,,,,Merkmalsspezifikation,Änderungen von Nachweis-Items, Änderung eines Nachweis-Items,Nachweisart für das gegebene Nachweis-Item,,Beweisketten,Informationen der Nachweis-Items,Bewertung eines Nachweis-Items,,Informationen eines Nachweisrückverfolgbarkeitslinks,,,,,,,,,
,,,,,,,,,,mögliche Änderung,,Nachweisart eines Nachweises,,Menge der Nachweise,,Ergebnis der Nachweisbewertung,,Nachweisrückverfolgbarkeitslinks eiens Projekts,,,,,,,,,
,,,,,,,,,,,,Quell- und Zielnachweisart eines Nachweisrückverfolgbarkeitslinks,,,,,,,,,,,,,,,
